"Country","Company Name","HQ or Regional","Type of Business","Size of Business","About"
"France","Ogury","HQ","Tech - Platform","M","Mobile advertising technology company specializing in privacy-compliant audience targeting."
"France","Equativ","HQ","Tech - SSP","L","Global independent ad platform (formerly Smart AdServer) providing unified SSP, ad server and buyer tools."
"France","Teads (Altice)","HQ","Tech - SSP/Platform","L","Global media platform known for outstream video solutions, now offering broader digital advertising capabilities."
"Germany","Axel Springer SE","HQ","Publisher/Tech","L","Major European digital publisher operating BILD, WELT, StepStone, AWIN affiliate network, and idealo marketplace."
"Germany","Ad Alliance GmbH","HQ","Tech - Platform","L","Germany's largest cross-media advertising platform, representing RTL, G+J, Spiegel, and other major publishers."
"Germany","ProSiebenSat.1","HQ","Publisher/Tech","L","Media group operating TV channels, Joyn streaming, SevenVentures, and NuCom Group's digital portfolio."
"Germany","Ströer","HQ","Publisher/Tech","L","Digital marketing company operating T-Online, digital OOH network, Statista, and advertising technology solutions."
"Germany","VirtualMinds AG","HQ","Tech - Platform","L","Ad tech holding operating YieldLab (SSP), Active Agent (DSP), Adition (ad server), and targeting solutions."
"Germany","Funke Digital","HQ","Publisher","L","Digital publishing group operating regional news brands, classifieds, and digital marketing solutions."
"Germany","Hubert Burda Media","HQ","Publisher/Tech","L","Publisher operating digital marketplaces, BurdaForward advertising platform, and content platforms."
"Germany","1&1 Mail & Media","HQ","Tech - Platform","L","Digital services company operating GMX, WEB.DE email providers with significant ad tech capabilities."
"Austria","COPE Content Performance Group","HQ","Tech - Platform","M","Digital marketing technology and content performance platform based in Vienna."
"Austria","Austrian Digital Alliance","HQ","Tech - Platform","L","Publisher alliance between ORF, Styria, Mediaprint, Kurier, VGN for digital advertising."
"Austria","Red Bull Media House","HQ","Publisher","L","Global digital media company producing content, operating streaming platforms, and digital properties."
"Austria","Mediaprint","HQ","Publisher","L","Major Austrian publisher operating Kronen Zeitung, Kurier with digital platforms and ad solutions."
"Austria","Styria Media Group","HQ","Publisher","M","Media group operating digital news platforms and marketplaces across Austria and Croatia."
"Austria","ORF","HQ","Publisher","L","Austrian public broadcaster with extensive digital platforms including ORF.at and streaming services."
"Switzerland","TX Group","HQ","Publisher/Tech","L","Media company operating digital marketplaces, news platforms, and Goldbach advertising technology."
"Switzerland","Ringier","HQ","Publisher/Tech","L","International media company operating digital marketplaces, tech platforms, and advertising solutions."
"Switzerland","Goldbach Group (TX)","HQ","Tech - Platform","L","Major advertising and media sales platform operating across Swiss and broader DACH markets."
"Switzerland","Admeira","HQ","Tech - Platform","L","Joint venture between Ringier and SRG SSR, providing cross-media advertising solutions."
"Switzerland","CH Media","HQ","Publisher","M","Joint venture operating regional media brands and digital platforms across Switzerland."
"Switzerland","NZZ Mediengruppe","HQ","Publisher","M","Quality news publisher with digital subscription business and content technology focus."
